Latitude,Longitude,Elevation,Time,HeartRate,Power
42.276148,-71.02796,8.8,2023-09-15 00:01:59+00:00,,
42.276148,-71.02796,7.8,2023-09-15 00:02:00+00:00,,
42.276145,-71.02796,7.8,2023-09-15 00:02:01+00:00,,
42.276143,-71.02796,7.8,2023-09-15 00:02:02+00:00,,
42.276142,-71.02796,7.8,2023-09-15 00:02:03+00:00,,
42.276137,-71.02796,7.8,2023-09-15 00:02:04+00:00,,
42.276135,-71.027958,7.8,2023-09-15 00:02:05+00:00,,
42.276135,-71.027958,7.8,2023-09-15 00:02:06+00:00,,
42.276133,-71.027958,7.8,2023-09-15 00:02:07+00:00,,
42.276132,-71.027958,7.8,2023-09-15 00:02:08+00:00,,
42.27613,-71.027958,7.8,2023-09-15 00:02:09+00:00,,
42.27613,-71.027958,7.8,2023-09-15 00:02:10+00:00,,
42.276128,-71.027958,7.8,2023-09-15 00:02:11+00:00,,
42.276128,-71.027957,7.8,2023-09-15 00:02:12+00:00,,
42.276128,-71.027957,7.8,2023-09-15 00:02:13+00:00,,
42.276123,-71.027957,7.8,2023-09-15 00:02:14+00:00,,
42.276122,-71.027957,7.8,2023-09-15 00:02:15+00:00,,
42.276118,-71.027957,7.8,2023-09-15 00:02:16+00:00,,
42.276117,-71.027957,7.8,2023-09-15 00:02:17+00:00,,
42.276117,-71.027957,7.8,2023-09-15 00:02:18+00:00,,
42.276113,-71.027957,7.8,2023-09-15 00:02:19+00:00,,
42.276105,-71.027955,7.8,2023-09-15 00:02:20+00:00,,
42.2761,-71.027953,7.8,2023-09-15 00:02:21+00:00,,
42.276098,-71.027953,7.8,2023-09-15 00:02:22+00:00,,
42.276098,-71.027953,7.8,2023-09-15 00:02:23+00:00,,
42.276097,-71.027952,7.8,2023-09-15 00:02:24+00:00,,
42.276097,-71.027952,7.8,2023-09-15 00:02:25+00:00,,
42.276095,-71.027952,7.8,2023-09-15 00:02:26+00:00,,
42.276095,-71.02795,7.8,2023-09-15 00:02:27+00:00,,
42.276095,-71.027948,7.8,2023-09-15 00:02:28+00:00,,
42.276095,-71.027948,7.8,2023-09-15 00:02:29+00:00,,
